OT: 10027776 | Col C (Raw): =IFERROR(VLOOKUP(A2,[1]IW38!$D:$E,2,FALSE),0) | Parse: 
OT: 20038632 | Col C (Raw): =IFERROR(VLOOKUP(A3,[1]IW38!$D:$E,2,FALSE),0) | Parse: 
OT: 20038516 | Col C (Raw): =IFERROR(VLOOKUP(A4,[1]IW38!$D:$E,2,FALSE),0) | Parse: 
OT: 10027146 | Col C (Raw): =IFERROR(VLOOKUP(A5,[1]IW38!$D:$E,2,FALSE),0) | Parse: 
OT: 10027190 | Col C (Raw): =IFERROR(VLOOKUP(A6,[1]IW38!$D:$E,2,FALSE),0) | Parse: 
OT: 20038405 | Col C (Raw): =IFERROR(VLOOKUP(A7,[1]IW38!$D:$E,2,FALSE),0) | Parse: 
OT: 10023167 | Col C (Raw): =IFERROR(VLOOKUP(A8,[1]IW38!$D:$E,2,FALSE),0) | Parse: 
OT: 10023167 | Col C (Raw): =IFERROR(VLOOKUP(A9,[1]IW38!$D:$E,2,FALSE),0) | Parse: 
OT: 10023841 | Col C (Raw): =IFERROR(VLOOKUP(A10,[1]IW38!$D:$E,2,FALSE),0) | Parse: 
OT: 20036772 | Col C (Raw): =IFERROR(VLOOKUP(A11,[1]IW38!$D:$E,2,FALSE),0) | Parse: 
OT: 20036772 | Col C (Raw): =IFERROR(VLOOKUP(A12,[1]IW38!$D:$E,2,FALSE),0) | Parse: 
OT: 20036772 | Col C (Raw): =IFERROR(VLOOKUP(A13,[1]IW38!$D:$E,2,FALSE),0) | Parse: 
OT: 20036772 | Col C (Raw): =IFERROR(VLOOKUP(A14,[1]IW38!$D:$E,2,FALSE),0) | Parse: 
OT: 20036772 | Col C (Raw): =IFERROR(VLOOKUP(A15,[1]IW38!$D:$E,2,FALSE),0) | Parse: 
OT: 20036772 | Col C (Raw): =IFERROR(VLOOKUP(A16,[1]IW38!$D:$E,2,FALSE),0) | Parse: 
